model,f1_macro,balanced_accuracy,accuracy,f1_macro_mean,f1_macro_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,runtime_seconds
Baseline Most Frequent,0.189 ± 0.000,0.250 ± 0.000,0.607 ± 0.000,0.18893603534715891,8.575561869531149e-05,0.25,0.0,0.6073865417371268,0.00044315421836096073,0.13525258299999998
Logistic Regression,0.614 ± 0.027,0.652 ± 0.022,0.759 ± 0.019,0.614411579045384,0.026615299983221954,0.6515678661726221,0.02228595720945176,0.758514519993507,0.018681476408863334,0.49862762500000013
Decision Tree,0.613 ± 0.024,0.651 ± 0.019,0.757 ± 0.017,0.6132798030513682,0.023983702708214625,0.6505799075990877,0.019343312212594294,0.7573030877905806,0.016686967911635552,0.20901687499999966
Gaussian Naive Bayes,0.540 ± 0.027,0.620 ± 0.021,0.731 ± 0.005,0.5401485056369498,0.027204229455482724,0.6204544361814847,0.021091058500101005,0.7313753791914657,0.004510158658565543,0.16418158299999996
