configuration,deadline_satisfaction_mean,deadline_satisfaction_std,critical_coverage_mean,critical_coverage_std,total_cost_mean,total_cost_std,runtime_mean,runtime_std
CSP base,0.84,0.03,0.79,0.04,12600,850,1.8,0.3
CSP risk-aware,0.91,0.02,0.88,0.03,13450,780,2.1,0.4
