model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,brier_mean,brier_std
Bayes only,0.78,0.03,0.75,0.04,0.74,0.04,0.18,0.02
KB + Bayes,0.83,0.02,0.81,0.03,0.8,0.03,0.15,0.02
